System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,conv2d_b2b_3x3_repeat,144,406,374,26,6,483,0,0,0,191,136,55,-10.630ns,
aetherling_copies,conv2d_b2b_3x3_repeat,16,219,214,0,5,196,0,0,0,115,73,42,-12.115ns,
aetherling_copies,conv2d_b2b_3x3_repeat,1,2754,2689,0,65,291,0,0,0,1183,841,342,-5.192ns,
aetherling_copies,conv2d_b2b_3x3_repeat,2,1467,1434,0,33,516,0,0,0,649,445,204,-4.906ns,
aetherling_copies,conv2d_b2b_3x3_repeat,48,463,457,0,6,441,0,0,0,197,126,71,-9.071ns,
aetherling_copies,conv2d_b2b_3x3_repeat,4,759,742,0,17,299,0,0,0,336,207,129,-5.176ns,
aetherling_copies,conv2d_b2b_3x3_repeat,8,400,391,0,9,235,0,0,0,170,109,61,-13.068ns,
aetherling_copies,conv2d_b2b,144,381,351,21,9,407,0,0,0,170,120,50,-11.540ns,
aetherling_copies,conv2d_b2b,16,203,196,0,7,171,0,0,0,95,56,39,-17.338ns,
aetherling_copies,conv2d_b2b,1,2578,2481,0,97,435,0,0,0,1072,720,352,-10.417ns,
aetherling_copies,conv2d_b2b,2,1457,1408,0,49,770,0,0,0,610,410,200,-9.377ns,
aetherling_copies,conv2d_b2b,48,431,422,0,9,365,0,0,0,181,117,64,-10.081ns,
aetherling_copies,conv2d_b2b,4,746,721,0,25,388,0,0,0,306,195,111,-9.721ns,
aetherling_copies,conv2d_b2b,8,372,359,0,13,188,0,0,0,154,107,47,-19.904ns,
aetherling_copies,conv2d,144,210,188,16,6,283,0,0,0,104,60,44,-5.452ns,
aetherling_copies,conv2d,16,135,130,0,5,136,0,0,0,67,41,26,-4.282ns,
aetherling_copies,conv2d,1,1730,1665,0,65,963,0,0,0,682,475,207,-0.248ns,
aetherling_copies,conv2d,2,888,855,0,33,608,0,0,0,368,235,133,-0.406ns,
aetherling_copies,conv2d,48,244,238,0,6,265,0,0,0,101,64,37,-5.920ns,
aetherling_copies,conv2d,4,434,417,0,17,317,0,0,0,176,112,64,-0.375ns,
aetherling_copies,conv2d,8,244,235,0,9,156,0,0,0,111,72,39,-3.616ns,
aetherling_copies,map,100,28,11,0,17,59,0,0,0,17,9,8,1.800ns,
aetherling_copies,map,10,265,104,0,161,588,0,0,0,165,98,67,1.780ns,
aetherling_copies,map,1,2640,1039,0,1601,5844,0,0,0,1611,1022,589,1.633ns,
aetherling_copies,map,200,15,6,0,9,31,0,0,0,9,4,5,2.204ns,
aetherling_copies,map,20,132,51,0,81,283,0,0,0,77,41,36,1.844ns,
aetherling_copies,map,25,106,41,0,65,227,0,0,0,68,38,30,1.798ns,
aetherling_copies,map,40,67,26,0,41,143,0,0,0,39,21,18,1.947ns,
aetherling_copies,map,50,54,21,0,33,115,0,0,0,33,18,15,1.852ns,
aetherling_copies,map,5,529,208,0,321,1179,0,0,0,324,192,132,1.757ns,
aetherling_copies,pyramid,16,442,437,0,5,392,0,0,0,204,139,65,-7.411ns,
aetherling_copies,pyramid,192,876,870,0,6,898,0,0,0,365,269,96,-5.808ns,
aetherling_copies,pyramid,1,1914,1897,0,17,191,0,0,0,768,518,250,-5.036ns,
aetherling_copies,pyramid,2,1012,1003,0,9,478,0,0,0,436,288,148,-3.120ns,
aetherling_copies,pyramid,32,432,411,16,5,460,0,0,0,216,148,68,-3.517ns,
aetherling_copies,pyramid,4,609,604,0,5,262,0,0,0,254,154,100,-6.760ns,
aetherling_copies,pyramid,576,856,824,26,6,981,0,0,0,432,293,139,-5.711ns,
aetherling_copies,pyramid,64,482,477,0,5,588,0,0,0,245,156,89,-3.346ns,
aetherling_copies,pyramid,8,564,547,8,9,443,0,0,0,244,154,90,-5.221ns,
aetherling_copies,sharpen,144,321,288,24,9,333,0,0,0,136,83,53,-26.170ns,
aetherling_copies,sharpen,16,215,206,0,9,168,0,0,0,110,66,44,-22.905ns,
aetherling_copies,sharpen,1,2930,2801,0,129,915,0,0,0,1127,747,380,-10.778ns,
aetherling_copies,sharpen,2,1583,1518,0,65,803,0,0,0,622,438,184,-9.027ns,
aetherling_copies,sharpen,48,356,339,8,9,302,0,0,0,146,103,43,-23.394ns,
aetherling_copies,sharpen,4,815,782,0,33,436,0,0,0,322,198,124,-9.176ns,
aetherling_copies,sharpen,8,401,384,0,17,228,0,0,0,176,112,64,-21.829ns,
halide_to_hardware,map,25,106,41,0,65,227,0,0,0,68,38,30,1.798ns,
halide_to_hardware,map,50,54,21,0,33,115,0,0,0,33,18,15,1.852ns,
spatial,down_up,10,0,0,0,0,33,0,0,0,10,7,3,,
spatial,down_up,200,213,200,0,13,548,0,0,0,120,78,42,1.150ns,
spatial,down_up,20,0,0,0,0,17,0,0,0,4,4,0,,
spatial,down_up,40,0,0,0,0,9,0,0,0,3,3,0,,
spatial,down_up,8,0,0,0,0,41,0,0,0,12,8,4,,
spatial,map,100,28,11,0,17,59,0,0,0,17,9,8,1.800ns,
spatial,map,200,15,6,0,9,31,0,0,0,9,4,5,2.204ns,
spatial,map,25,106,41,0,65,227,0,0,0,68,38,30,1.798ns,
spatial,map,50,54,21,0,33,115,0,0,0,33,18,15,1.852ns,
