System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,map,100,11,11,0,0,75,0,0,0,22,17,5,-0.852ns,
aetherling_copies,map,10,98,98,0,0,703,0,0,0,120,91,29,-1.186ns,
aetherling_copies,map,1,988,988,0,0,6973,0,0,0,1549,1175,374,-1.190ns,
aetherling_copies,map,200,6,6,0,0,41,0,0,0,15,12,3,-0.714ns,
aetherling_copies,map,20,51,51,0,0,341,0,0,0,60,38,22,-1.246ns,
aetherling_copies,map,25,41,41,0,0,279,0,0,0,54,35,19,-1.142ns,
aetherling_copies,map,40,26,26,0,0,178,0,0,0,41,29,12,-1.099ns,
aetherling_copies,map,50,21,21,0,0,144,0,0,0,31,23,8,-0.993ns,
aetherling_copies,map,5,201,201,0,0,1401,0,0,0,328,264,64,-1.091ns,
aetherling_copies,pyramid,1,2269,2259,0,10,688,0,0,0,844,603,241,-25.637ns,
halide_to_hardware,map,50,188,188,0,0,232,0,0,0,83,39,44,,
