System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,BRAMTiles,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,big_16_conv2d_b2b,1036800,468,450,0,18,716,3,0,0,3,187,118,69,2.474ns,
aetherling_copies,big_16_conv2d_b2b,129600,2990,2860,0,130,4416,12,0,0,12,1145,808,337,1.871ns,
aetherling_copies,big_16_conv2d_b2b,2073600,374,364,0,10,485,3,0,0,3,151,103,48,1.892ns,
aetherling_copies,big_16_conv2d_b2b,259200,1493,1427,0,66,2274,5,1,0,5.5,559,316,243,2.152ns,
aetherling_copies,big_16_conv2d_b2b,518400,819,785,0,34,1240,3,0,0,3,307,203,104,2.163ns,
aetherling_copies,big_16_conv2d_b2b,6220800,624,616,0,8,927,3,0,0,3,231,130,101,1.861ns,
aetherling_copies,big_16_conv2d,1036800,338,322,0,16,479,2,0,0,2,128,85,43,2.676ns,
aetherling_copies,big_16_conv2d,129600,2195,2067,0,128,2827,8,0,0,8,747,545,202,2.211ns,
aetherling_copies,big_16_conv2d,2073600,243,235,0,8,317,2,0,0,2,100,66,34,2.056ns,
aetherling_copies,big_16_conv2d,259200,1139,1075,0,64,1479,4,0,0,4,396,302,94,2.296ns,
aetherling_copies,big_16_conv2d,518400,597,565,0,32,811,2,0,0,2,204,118,86,2.552ns,
aetherling_copies,big_16_conv2d,6220800,363,355,0,8,598,2,0,0,2,152,84,68,1.950ns,
aetherling_copies,big_16_sharpen,1036800,463,439,24,0,569,2,0,0,2,167,112,55,1.618ns,
aetherling_copies,big_16_sharpen,129600,3112,2920,192,0,3463,8,0,0,8,1048,714,334,0.938ns,
aetherling_copies,big_16_sharpen,2073600,312,300,12,0,392,2,0,0,2,119,81,38,1.938ns,
aetherling_copies,big_16_sharpen,259200,1603,1507,96,0,1803,4,0,0,4,548,332,216,1.131ns,
aetherling_copies,big_16_sharpen,518400,834,786,48,0,979,2,0,0,2,286,203,83,1.615ns,
aetherling_copies,big_16_sharpen,6220800,425,413,12,0,653,2,0,0,2,184,102,82,1.906ns,
aetherling_copies,big_32_conv2d_b2b,1036800,837,803,0,34,1388,6,0,0,6,320,182,138,2.049ns,
aetherling_copies,big_32_conv2d_b2b,129600,5945,5687,0,258,8901,21,3,0,22.5,2058,1437,621,1.570ns,
aetherling_copies,big_32_conv2d_b2b,2073600,545,527,0,18,917,6,0,0,6,260,168,92,1.770ns,
aetherling_copies,big_32_conv2d_b2b,259200,3037,2907,0,130,4606,12,0,0,12,1087,734,353,1.574ns,
aetherling_copies,big_32_conv2d_b2b,518400,1553,1487,0,66,2456,6,0,0,6,539,325,214,2.048ns,
aetherling_copies,big_32_conv2d_b2b,6220800,980,964,0,16,1711,6,0,0,6,410,279,131,1.498ns,
aetherling_copies,big_32_conv2d,1036800,610,578,0,32,927,4,0,0,4,218,122,96,2.145ns,
aetherling_copies,big_32_conv2d,129600,4378,4122,0,256,5744,14,2,0,15,1306,926,380,1.485ns,
aetherling_copies,big_32_conv2d,2073600,385,369,0,16,589,4,0,0,4,148,114,34,1.592ns,
aetherling_copies,big_32_conv2d,259200,2239,2111,0,128,2991,8,0,0,8,683,410,273,1.910ns,
aetherling_copies,big_32_conv2d,518400,1141,1077,0,64,1611,4,0,0,4,370,202,168,2.326ns,
aetherling_copies,big_32_conv2d,6220800,586,570,0,16,1118,4,0,0,4,259,177,82,1.595ns,
aetherling_copies,big_32_sharpen,1036800,858,810,48,0,1081,4,0,0,4,308,176,132,0.821ns,
aetherling_copies,big_32_sharpen,129600,6290,5906,384,0,6895,14,2,0,15,1895,1315,580,0.242ns,
aetherling_copies,big_32_sharpen,2073600,511,487,24,0,728,4,0,0,4,196,108,88,0.966ns,
aetherling_copies,big_32_sharpen,259200,3197,3005,192,0,3571,8,0,0,8,1004,587,417,0.370ns,
aetherling_copies,big_32_sharpen,518400,1626,1530,96,0,1907,4,0,0,4,529,303,226,0.693ns,
aetherling_copies,big_32_sharpen,6220800,702,678,24,0,1194,4,0,0,4,360,208,152,1.007ns,
aetherling_copies,big_conv2d_b2b,1036800,284,274,0,10,380,0,3,0,1.5,113,72,41,2.702ns,
aetherling_copies,big_conv2d_b2b,129600,1513,1447,0,66,2168,6,0,0,6,622,389,233,2.471ns,
aetherling_copies,big_conv2d_b2b,2073600,238,232,0,6,269,0,3,0,1.5,88,57,31,2.845ns,
aetherling_copies,big_conv2d_b2b,259200,774,740,0,34,1122,2,1,0,2.5,328,231,97,2.318ns,
aetherling_copies,big_conv2d_b2b,518400,451,433,0,18,632,0,3,0,1.5,181,117,64,2.368ns,
aetherling_copies,big_conv2d_b2b,6220800,397,393,0,4,535,0,3,0,1.5,148,86,62,2.724ns,
aetherling_copies,big_conv2d,1036800,202,194,0,8,255,0,2,0,1,77,50,27,2.713ns,
aetherling_copies,big_conv2d,129600,1102,1038,0,64,1363,4,0,0,4,388,328,60,2.501ns,
aetherling_copies,big_conv2d,2073600,164,160,0,4,181,0,2,0,1,59,36,23,2.823ns,
aetherling_copies,big_conv2d,259200,595,563,0,32,727,2,0,0,2,219,147,72,2.492ns,
aetherling_copies,big_conv2d,518400,325,309,0,16,411,0,2,0,1,122,84,38,2.423ns,
aetherling_copies,big_conv2d,6220800,243,239,0,4,342,0,2,0,1,90,65,25,2.713ns,
aetherling_copies,big_real_16_conv2d_b2b,1036800,502,483,0,19,1113,3,0,30,3,298,143,155,1.950ns,
aetherling_copies,big_real_16_conv2d_b2b,129600,3275,3130,0,145,7487,12,0,240,12,2037,1062,975,1.517ns,
aetherling_copies,big_real_16_conv2d_b2b,2073600,393,382,0,11,729,3,0,15,3,225,124,101,1.820ns,
aetherling_copies,big_real_16_conv2d_b2b,259200,1676,1603,0,73,3837,6,0,120,6,1041,567,474,1.586ns,
aetherling_copies,big_real_16_conv2d_b2b,518400,894,857,0,37,2019,3,0,60,3,568,291,277,1.768ns,
aetherling_copies,big_real_16_conv2d_b2b,6220800,555,546,0,9,950,3,0,7,3,273,139,134,1.816ns,
aetherling_copies,big_real_16_conv2d,1036800,350,333,0,17,739,2,0,20,2,208,90,118,1.947ns,
aetherling_copies,big_real_16_conv2d,129600,2302,2173,0,129,4865,8,0,160,8,1352,727,625,1.590ns,
aetherling_copies,big_real_16_conv2d,2073600,255,245,0,10,480,2,0,10,2,145,89,56,1.805ns,
aetherling_copies,big_real_16_conv2d,259200,1177,1112,0,65,2501,4,0,80,4,698,389,309,1.267ns,
aetherling_copies,big_real_16_conv2d,518400,626,593,0,33,1325,2,0,40,2,378,212,166,1.774ns,
aetherling_copies,big_real_16_conv2d,6220800,335,326,0,9,614,2,0,4,2,172,105,67,1.908ns,
aetherling_copies,big_real_16_sharpen,1036800,548,499,48,1,853,2,0,22,2,253,131,122,1.462ns,
aetherling_copies,big_real_16_sharpen,129600,3811,3426,384,1,5693,8,0,176,8,1888,996,892,0.302ns,
aetherling_copies,big_real_16_sharpen,2073600,360,335,24,1,545,2,0,11,2,171,82,89,1.708ns,
aetherling_copies,big_real_16_sharpen,259200,1938,1745,192,1,2921,4,0,88,4,1022,582,440,1.661ns,
aetherling_copies,big_real_16_sharpen,518400,1013,916,96,1,1541,2,0,44,2,483,250,233,1.450ns,
aetherling_copies,big_real_16_sharpen,6220800,438,414,24,0,677,2,0,5,2,201,110,91,1.699ns,
aetherling_copies,big_real_32_conv2d_b2b,1036800,1131,834,0,297,3082,6,0,94,6,803,454,349,0.483ns,
aetherling_copies,big_real_32_conv2d_b2b,2073600,694,544,0,150,1842,6,0,47,6,485,268,217,1.510ns,
aetherling_copies,big_real_32_conv2d_b2b,259200,4208,3016,0,1192,11340,12,0,376,12,2906,1477,1429,0.834ns,
aetherling_copies,big_real_32_conv2d_b2b,518400,2155,1560,0,595,5830,6,0,188,6,1440,758,682,0.974ns,
aetherling_copies,big_real_32_conv2d_b2b,6220800,907,830,0,77,1964,6,0,23,6,533,282,251,1.795ns,
aetherling_copies,big_real_32_conv2d,1036800,798,588,0,210,2060,4,0,62,4,550,284,266,1.576ns,
aetherling_copies,big_real_32_conv2d,129600,5894,4223,0,1671,14773,14,2,496,15,3903,1954,1949,0.673ns,
aetherling_copies,big_real_32_conv2d,2073600,481,376,0,105,1221,4,0,31,4,295,147,148,1.481ns,
aetherling_copies,big_real_32_conv2d,259200,2974,2139,0,835,7508,8,0,248,8,1928,954,974,0.330ns,
aetherling_copies,big_real_32_conv2d,518400,1523,1104,0,419,3872,4,0,124,4,1014,506,508,0.226ns,
aetherling_copies,big_real_32_conv2d,6220800,559,508,0,51,1256,4,0,13,4,354,215,139,1.495ns,
aetherling_copies,big_real_32_sharpen,1036800,1160,921,48,191,2308,4,2,70,5,664,363,301,0.426ns,
aetherling_copies,big_real_32_sharpen,129600,8649,6744,384,1521,16633,14,18,560,23,4989,2618,2371,0.089ns,
aetherling_copies,big_real_32_sharpen,2073600,674,554,24,96,1356,4,1,35,4.5,417,229,188,0.459ns,
aetherling_copies,big_real_32_sharpen,259200,4369,3416,192,761,8448,8,8,280,12,2491,1335,1156,0.161ns,
aetherling_copies,big_real_32_sharpen,518400,2231,1754,96,381,4348,4,4,140,6,1277,683,594,0.366ns,
aetherling_copies,big_real_32_sharpen,6220800,753,687,24,42,1391,4,1,17,4.5,418,255,163,0.479ns,
aetherling_copies,big_real_conv2d_b2b,1036800,318,307,0,11,617,0,3,30,1.5,162,86,76,2.078ns,
aetherling_copies,big_real_conv2d_b2b,129600,1798,1717,0,81,3959,6,0,240,6,1098,567,531,1.353ns,
aetherling_copies,big_real_conv2d_b2b,2073600,259,252,0,7,417,0,3,15,1.5,136,74,62,2.411ns,
aetherling_copies,big_real_conv2d_b2b,259200,940,899,0,41,2045,3,0,120,3,604,286,318,1.502ns,
aetherling_copies,big_real_conv2d_b2b,518400,526,505,0,21,1091,0,3,60,1.5,349,177,172,2.032ns,
aetherling_copies,big_real_conv2d_b2b,6220800,363,358,0,5,558,0,3,7,1.5,155,82,73,2.737ns,
aetherling_copies,big_real_conv2d,1036800,214,205,0,9,403,0,2,20,1,124,68,56,1.880ns,
aetherling_copies,big_real_conv2d,129600,1209,1144,0,65,2505,4,0,160,4,741,385,356,1.489ns,
aetherling_copies,big_real_conv2d,2073600,174,168,0,6,272,0,2,10,1,82,41,41,2.335ns,
aetherling_copies,big_real_conv2d,259200,633,600,0,33,1301,2,0,80,2,372,189,183,1.272ns,
aetherling_copies,big_real_conv2d,518400,354,337,0,17,701,0,2,40,1,207,90,117,1.303ns,
