System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,big_16_conv2d_b2b,1036800,548,532,0,16,529,0,6,0,164,116,48,-0.561ns,
aetherling_copies,big_16_conv2d_b2b,129600,4051,3923,0,128,3041,0,48,0,1238,741,497,-0.731ns,
aetherling_copies,big_16_conv2d_b2b,2073600,378,370,0,8,351,3,0,0,126,93,33,-0.385ns,
aetherling_copies,big_16_conv2d_b2b,259200,2031,1967,0,64,1633,0,24,0,614,352,262,-0.624ns,
aetherling_copies,big_16_conv2d_b2b,518400,1049,1017,0,32,905,0,12,0,307,193,114,-0.487ns,
aetherling_copies,big_16_conv2d_b2b,6220800,684,676,0,8,729,3,0,0,288,194,94,0.169ns,
aetherling_copies,big_16_conv2d,1036800,396,380,0,16,359,0,4,0,117,90,27,-0.555ns,
aetherling_copies,big_16_conv2d,129600,2936,2808,0,128,1973,0,32,0,862,493,369,-0.923ns,
aetherling_copies,big_16_conv2d,2073600,250,242,0,8,236,2,0,0,81,57,24,-0.376ns,
aetherling_copies,big_16_conv2d,259200,1468,1404,0,64,1069,0,16,0,423,295,128,-0.699ns,
aetherling_copies,big_16_conv2d,518400,759,727,0,32,601,0,8,0,232,139,93,-0.488ns,
aetherling_copies,big_16_conv2d,6220800,391,383,0,8,492,2,0,0,153,100,53,0.257ns,
aetherling_copies,big_16_sharpen,1036800,513,489,24,0,443,0,4,0,174,125,49,-0.950ns,
aetherling_copies,big_16_sharpen,129600,3828,3636,192,0,2589,0,32,0,1149,670,479,-1.847ns,
aetherling_copies,big_16_sharpen,2073600,310,298,12,0,295,2,0,0,107,77,30,-0.920ns,
aetherling_copies,big_16_sharpen,259200,1916,1820,96,0,1381,0,16,0,574,330,244,-1.598ns,
aetherling_copies,big_16_sharpen,518400,984,936,48,0,761,0,8,0,301,179,122,-1.690ns,
aetherling_copies,big_16_sharpen,6220800,455,443,12,0,533,2,0,0,182,109,73,-1.216ns,
aetherling_copies,big_32_conv2d_b2b,1036800,918,886,0,32,945,6,0,0,268,157,111,-1.218ns,
aetherling_copies,big_32_conv2d_b2b,129600,10352,7456,2640,256,5473,0,18,0,2851,1751,1100,-1.144ns,
aetherling_copies,big_32_conv2d_b2b,2073600,557,541,0,16,639,6,0,0,182,125,57,-0.922ns,
aetherling_copies,big_32_conv2d_b2b,259200,6314,3722,2464,128,2913,0,10,0,1746,941,805,-1.654ns,
aetherling_copies,big_32_conv2d_b2b,518400,1790,1726,0,64,1609,0,12,0,545,321,224,-1.153ns,
aetherling_copies,big_32_conv2d_b2b,6220800,1132,1116,0,16,1326,6,0,0,451,311,140,0.081ns,
aetherling_copies,big_32_conv2d,1036800,670,638,0,32,647,4,0,0,198,133,65,-1.328ns,
aetherling_copies,big_32_conv2d,129600,8458,5562,2640,256,3605,0,2,0,2263,1338,925,-1.641ns,
aetherling_copies,big_32_conv2d,2073600,398,382,0,16,428,4,0,0,122,85,37,-0.953ns,
aetherling_copies,big_32_conv2d,259200,5373,2781,2464,128,1933,0,2,0,1431,726,705,-1.681ns,
aetherling_copies,big_32_conv2d,518400,1305,1241,0,64,1081,0,8,0,374,229,145,-1.270ns,
aetherling_copies,big_32_conv2d,6220800,696,680,0,16,888,4,0,0,339,208,131,0.139ns,
aetherling_copies,big_32_sharpen,1036800,912,864,48,0,795,4,0,0,280,179,101,-2.823ns,
aetherling_copies,big_32_sharpen,129600,10345,7321,3024,0,4735,0,2,0,2787,1640,1147,-4.635ns,
aetherling_copies,big_32_sharpen,2073600,517,493,24,0,535,4,0,0,176,127,49,-2.608ns,
aetherling_copies,big_32_sharpen,259200,6312,3656,2656,0,2510,0,2,0,1765,957,808,-4.252ns,
aetherling_copies,big_32_sharpen,518400,1783,1687,96,0,1369,0,8,0,513,332,181,-3.270ns,
aetherling_copies,big_32_sharpen,6220800,758,734,24,0,967,4,0,0,298,184,114,-2.380ns,
aetherling_copies,big_conv2d_b2b,1036800,366,358,0,8,320,0,6,0,118,56,62,-0.051ns,
aetherling_copies,big_conv2d_b2b,129600,2586,2522,0,64,1825,0,48,0,850,481,369,-0.214ns,
aetherling_copies,big_conv2d_b2b,2073600,234,230,0,4,206,0,3,0,80,53,27,0.144ns,
aetherling_copies,big_conv2d_b2b,259200,1290,1258,0,32,993,0,24,0,415,238,177,-0.293ns,
aetherling_copies,big_conv2d_b2b,518400,682,666,0,16,553,0,12,0,217,135,82,0.002ns,
aetherling_copies,big_conv2d_b2b,6220800,404,400,0,4,433,0,3,0,148,82,66,0.704ns,
aetherling_copies,big_conv2d,1036800,260,252,0,8,215,0,4,0,75,56,19,-0.024ns,
aetherling_copies,big_conv2d,129600,1848,1784,0,64,1157,0,32,0,604,349,255,-0.406ns,
aetherling_copies,big_conv2d,2073600,163,159,0,4,140,0,2,0,53,35,18,-0.048ns,
aetherling_copies,big_conv2d,259200,925,893,0,32,637,0,16,0,281,180,101,-0.316ns,
aetherling_copies,big_conv2d,518400,486,470,0,16,361,0,8,0,150,79,71,-0.181ns,
aetherling_copies,big_conv2d,6220800,251,247,0,4,292,0,2,0,99,70,29,1.074ns,
aetherling_copies,big_conv2d,64,92,70,16,6,104,0,0,0,34,18,16,0.748ns,
