System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,conv2d_b2b_3x3_repeat,144,355,318,32,5,631,0,0,0,162,103,59,0.972ns,
aetherling_copies,conv2d_b2b_3x3_repeat,16,152,147,0,5,260,0,0,0,74,42,32,1.099ns,
aetherling_copies,conv2d_b2b_3x3_repeat,1,1692,1627,0,65,1218,0,0,0,610,454,156,0.732ns,
aetherling_copies,conv2d_b2b_3x3_repeat,2,845,812,0,33,709,0,0,0,312,199,113,1.132ns,
aetherling_copies,conv2d_b2b_3x3_repeat,48,349,344,0,5,637,0,0,0,162,117,45,1.183ns,
aetherling_copies,conv2d_b2b_3x3_repeat,4,419,402,0,17,417,0,0,0,163,100,63,1.308ns,
aetherling_copies,conv2d_b2b_3x3_repeat,8,268,259,0,9,325,0,0,0,111,67,44,1.267ns,
aetherling_copies,conv2d_b2b,144,341,289,48,4,399,0,0,0,122,73,49,1.391ns,
aetherling_copies,conv2d_b2b,16,118,90,24,4,152,0,0,0,44,28,16,0.927ns,
aetherling_copies,conv2d_b2b,1,1270,1206,0,64,1079,0,0,0,428,282,146,1.195ns,
aetherling_copies,conv2d_b2b,2,635,603,0,32,643,0,0,0,213,137,76,1.395ns,
aetherling_copies,conv2d_b2b,48,293,265,24,4,379,0,0,0,109,65,44,1.932ns,
aetherling_copies,conv2d_b2b,4,317,301,0,16,375,0,0,0,114,67,47,1.353ns,
aetherling_copies,conv2d_b2b,8,226,170,48,8,212,0,0,0,78,45,33,0.557ns,
aetherling_copies,conv2d,144,190,154,32,4,266,0,0,0,90,55,35,2.056ns,
aetherling_copies,conv2d,16,85,65,16,4,104,0,0,0,34,26,8,0.700ns,
aetherling_copies,conv2d,1,1016,952,0,64,663,0,0,0,290,188,102,1.099ns,
aetherling_copies,conv2d,2,509,477,0,32,415,0,0,0,149,97,52,1.153ns,
aetherling_copies,conv2d,48,176,156,16,4,256,0,0,0,70,43,27,2.005ns,
aetherling_copies,conv2d,4,255,239,0,16,251,0,0,0,73,48,25,1.731ns,
aetherling_copies,conv2d,8,164,124,32,8,143,0,0,0,51,33,18,0.488ns,
aetherling_copies,conv2d_real_b2b,144,299,246,48,5,414,0,0,4,144,86,58,2.064ns,
aetherling_copies,conv2d_real_b2b,16,140,109,24,7,192,0,0,15,74,33,41,1.801ns,
aetherling_copies,conv2d_real_b2b,2,839,798,0,41,859,0,0,120,278,110,168,0.634ns,
aetherling_copies,conv2d_real_b2b,48,250,221,24,5,401,0,0,7,110,56,54,2.013ns,
aetherling_copies,conv2d_real_b2b,4,421,400,0,21,495,0,0,60,161,60,101,0.391ns,
aetherling_copies,conv2d_real_b2b,8,268,209,48,11,269,0,0,30,95,38,57,2.011ns,
aetherling_copies,conv2d_real,144,176,139,32,5,266,0,0,2,78,49,29,2.061ns,
aetherling_copies,conv2d_real,16,95,73,16,6,126,0,0,10,36,16,20,1.282ns,
aetherling_copies,conv2d_real,1,1126,1061,0,65,875,0,0,160,342,135,207,0.978ns,
