System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,conv2d_b2b_3x3_repeat,144,451,421,26,4,479,0,0,0,222,153,69,-14.807ns,
aetherling_copies,conv2d_b2b_3x3_repeat,16,226,224,0,2,195,0,0,0,128,79,49,-19.300ns,
aetherling_copies,conv2d_b2b_3x3_repeat,1,2692,2675,0,17,334,0,0,0,1222,910,312,-21.077ns,
aetherling_copies,conv2d_b2b_3x3_repeat,2,1353,1343,0,10,276,0,0,0,613,425,188,-20.331ns,
aetherling_copies,conv2d_b2b_3x3_repeat,48,470,466,0,4,433,0,0,0,229,146,83,-13.033ns,
aetherling_copies,conv2d_b2b_3x3_repeat,4,679,673,0,6,199,0,0,0,342,236,106,-19.977ns,
aetherling_copies,conv2d_b2b_3x3_repeat,8,424,420,0,4,212,0,0,0,188,118,70,-20.837ns,
aetherling_copies,conv2d_b2b,144,410,382,21,7,389,0,0,0,180,131,49,-20.943ns,
aetherling_copies,conv2d_b2b,16,208,203,0,5,163,0,0,0,102,62,40,-22.253ns,
aetherling_copies,conv2d_b2b,1,2582,2517,0,65,314,0,0,0,1060,820,240,-26.803ns,
aetherling_copies,conv2d_b2b,2,1292,1258,0,34,276,0,0,0,552,343,209,-25.992ns,
aetherling_copies,conv2d_b2b,48,408,401,0,7,343,0,0,0,186,111,75,-18.134ns,
aetherling_copies,conv2d_b2b,4,651,633,0,18,178,0,0,0,276,180,96,-25.452ns,
aetherling_copies,conv2d_b2b,8,392,382,0,10,178,0,0,0,172,106,66,-24.852ns,
aetherling_copies,conv2d,144,233,213,16,4,277,0,0,0,107,65,42,-14.028ns,
aetherling_copies,conv2d,16,137,135,0,2,135,0,0,0,74,45,29,-10.325ns,
aetherling_copies,conv2d,1,1635,1618,0,17,339,0,0,0,673,482,191,-9.259ns,
aetherling_copies,conv2d,2,824,815,0,9,230,0,0,0,329,210,119,-9.723ns,
aetherling_copies,conv2d,48,246,242,0,4,253,0,0,0,127,81,46,-12.869ns,
aetherling_copies,conv2d,4,413,408,0,5,158,0,0,0,165,109,56,-9.441ns,
aetherling_copies,conv2d,8,258,255,0,3,154,0,0,0,115,70,45,-9.937ns,
aetherling_copies,map,100,11,11,0,0,75,0,0,0,22,17,5,-0.852ns,
aetherling_copies,map,10,98,98,0,0,703,0,0,0,120,91,29,-1.186ns,
aetherling_copies,map,1,988,988,0,0,6973,0,0,0,1549,1175,374,-1.190ns,
aetherling_copies,map,200,6,6,0,0,41,0,0,0,15,12,3,-0.714ns,
aetherling_copies,map,20,51,51,0,0,341,0,0,0,60,38,22,-1.246ns,
aetherling_copies,map,25,41,41,0,0,279,0,0,0,54,35,19,-1.142ns,
aetherling_copies,map,40,26,26,0,0,178,0,0,0,41,29,12,-1.099ns,
aetherling_copies,map,50,21,21,0,0,144,0,0,0,31,23,8,-0.993ns,
aetherling_copies,map,5,201,201,0,0,1401,0,0,0,328,264,64,-1.091ns,
aetherling_copies,pyramid,16,492,487,0,5,383,0,0,0,224,136,88,-11.623ns,
aetherling_copies,pyramid,192,959,953,0,6,882,0,0,0,409,325,84,-13.372ns,
aetherling_copies,pyramid,1,1900,1895,0,5,500,0,0,0,770,537,233,-21.187ns,
aetherling_copies,pyramid,2,988,985,0,3,404,0,0,0,417,304,113,-9.922ns,
aetherling_copies,pyramid,32,469,448,16,5,445,0,0,0,239,157,82,-10.471ns,
aetherling_copies,pyramid,4,564,559,0,5,280,0,0,0,277,180,97,-18.906ns,
aetherling_copies,pyramid,576,943,911,26,6,971,0,0,0,427,336,91,-14.405ns,
aetherling_copies,pyramid,64,540,535,0,5,555,0,0,0,245,175,70,-10.740ns,
aetherling_copies,pyramid,8,584,567,8,9,330,0,0,0,283,182,101,-10.493ns,
aetherling_copies,single_map_200,100,9,9,0,0,69,0,0,0,19,13,6,-1.070ns,
aetherling_copies,single_map_200,10,98,98,0,0,703,0,0,0,120,91,29,-1.186ns,
aetherling_copies,single_map_200,1,988,988,0,0,6973,0,0,0,1549,1175,374,-1.190ns,
aetherling_copies,single_map_200,20,51,51,0,0,341,0,0,0,60,38,22,-1.246ns,
aetherling_copies,single_map_200,25,21,21,0,0,262,0,0,0,64,39,25,-1.255ns,
aetherling_copies,single_map_200,40,15,15,0,0,166,0,0,0,39,23,16,-1.040ns,
aetherling_copies,single_map_200,50,12,12,0,0,133,0,0,0,28,18,10,-1.072ns,
aetherling_copies,single_map_200,5,201,201,0,0,1401,0,0,0,328,264,64,-1.091ns,
halide_to_hardware,map,25,188,188,0,0,232,0,0,0,83,39,44,,
halide_to_hardware,map,50,188,188,0,0,232,0,0,0,83,39,44,,
spatial,down_up,10,
spatial,down_up,200,
spatial,down_up,20,
spatial,down_up,40,
spatial,down_up,8,
spatial,map,100,
spatial,map,200,
spatial,map,25,
spatial,map,50,
