System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,big_16_conv2d_b2b,1036800,468,450,0,18,716,3,0,0,188,137,51,0.918ns,
aetherling_copies,big_16_conv2d_b2b,129600,2996,2866,0,130,4416,12,0,0,1141,839,302,0.542ns,
aetherling_copies,big_16_conv2d_b2b,2073600,391,381,0,10,485,3,0,0,158,105,53,0.125ns,
aetherling_copies,big_16_conv2d_b2b,259200,1495,1429,0,66,2279,5,1,0,598,387,211,0.526ns,
aetherling_copies,big_16_conv2d_b2b,518400,819,785,0,34,1240,3,0,0,322,224,98,0.679ns,
aetherling_copies,big_16_conv2d_b2b,6220800,645,637,0,8,927,3,0,0,269,181,88,0.275ns,
aetherling_copies,big_16_conv2d,1036800,338,322,0,16,479,2,0,0,140,102,38,0.923ns,
aetherling_copies,big_16_conv2d,129600,2196,2068,0,128,2827,8,0,0,718,458,260,0.643ns,
aetherling_copies,big_16_conv2d,2073600,251,243,0,8,317,2,0,0,97,76,21,0.237ns,
aetherling_copies,big_16_conv2d,259200,1142,1078,0,64,1484,4,0,0,408,298,110,0.728ns,
aetherling_copies,big_16_conv2d,518400,597,565,0,32,811,2,0,0,220,139,81,0.474ns,
aetherling_copies,big_16_conv2d,6220800,369,361,0,8,598,2,0,0,174,104,70,0.139ns,
aetherling_copies,big_16_sharpen,1036800,463,439,24,0,569,2,0,0,175,123,52,-0.967ns,
aetherling_copies,big_16_sharpen,129600,3112,2920,192,0,3463,8,0,0,1077,734,343,-1.877ns,
aetherling_copies,big_16_sharpen,2073600,318,306,12,0,392,2,0,0,130,98,32,-0.939ns,
aetherling_copies,big_16_sharpen,259200,1605,1509,96,0,1809,4,0,0,550,358,192,-1.482ns,
aetherling_copies,big_16_sharpen,518400,834,786,48,0,979,2,0,0,301,218,83,-1.142ns,
aetherling_copies,big_16_sharpen,6220800,432,420,12,0,653,2,0,0,187,114,73,-0.967ns,
aetherling_copies,big_32_conv2d_b2b,1036800,837,803,0,34,1388,6,0,0,323,207,116,0.476ns,
aetherling_copies,big_32_conv2d_b2b,129600,5949,5691,0,258,8901,21,3,0,1993,1442,551,-0.866ns,
aetherling_copies,big_32_conv2d_b2b,2073600,562,544,0,18,917,6,0,0,260,182,78,-0.151ns,
aetherling_copies,big_32_conv2d_b2b,259200,3043,2913,0,130,4606,12,0,0,1143,766,377,-0.040ns,
aetherling_copies,big_32_conv2d_b2b,518400,1556,1490,0,66,2461,6,0,0,542,354,188,0.408ns,
aetherling_copies,big_32_conv2d_b2b,6220800,999,983,0,16,1717,6,0,0,498,334,164,-0.026ns,
aetherling_copies,big_32_conv2d,1036800,610,578,0,32,927,4,0,0,226,123,103,0.577ns,
aetherling_copies,big_32_conv2d,129600,4378,4122,0,256,5744,14,2,0,1366,864,502,0.063ns,
aetherling_copies,big_32_conv2d,2073600,394,378,0,16,589,4,0,0,167,115,52,0.181ns,
aetherling_copies,big_32_conv2d,259200,2239,2111,0,128,2991,8,0,0,768,518,250,0.242ns,
aetherling_copies,big_32_conv2d,518400,1144,1080,0,64,1616,4,0,0,403,263,140,0.203ns,
aetherling_copies,big_32_conv2d,6220800,597,581,0,16,1118,4,0,0,336,238,98,0.110ns,
aetherling_copies,big_32_sharpen,1036800,858,810,48,0,1081,4,0,0,294,199,95,-2.743ns,
aetherling_copies,big_32_sharpen,129600,6290,5906,384,0,6896,14,2,0,1839,1128,711,-3.940ns,
aetherling_copies,big_32_sharpen,2073600,520,496,24,0,728,4,0,0,215,161,54,-3.159ns,
aetherling_copies,big_32_sharpen,259200,3197,3005,192,0,3572,8,0,0,1034,698,336,-3.463ns,
aetherling_copies,big_32_sharpen,518400,1629,1533,96,0,1913,4,0,0,521,282,239,-3.220ns,
aetherling_copies,big_32_sharpen,6220800,712,688,24,0,1194,4,0,0,329,217,112,-2.067ns,
aetherling_copies,big_conv2d_b2b,1036800,284,274,0,10,380,0,3,0,117,85,32,0.504ns,
aetherling_copies,big_conv2d_b2b,129600,1516,1450,0,66,2173,6,0,0,647,434,213,0.859ns,
aetherling_copies,big_conv2d_b2b,2073600,238,232,0,6,269,0,3,0,91,71,20,0.781ns,
aetherling_copies,big_conv2d_b2b,259200,775,741,0,34,1122,2,1,0,332,271,61,0.787ns,
aetherling_copies,big_conv2d_b2b,518400,451,433,0,18,632,0,3,0,169,124,45,0.821ns,
aetherling_copies,big_conv2d_b2b,6220800,395,391,0,4,535,0,3,0,153,90,63,0.707ns,
aetherling_copies,big_conv2d,1036800,202,194,0,8,255,0,2,0,86,59,27,0.933ns,
aetherling_copies,big_conv2d,129600,1106,1042,0,64,1368,4,0,0,427,351,76,0.865ns,
aetherling_copies,big_conv2d,2073600,163,159,0,4,181,0,2,0,58,41,17,1.025ns,
aetherling_copies,big_conv2d,259200,595,563,0,32,727,2,0,0,207,146,61,0.977ns,
aetherling_copies,big_conv2d,518400,325,309,0,16,411,0,2,0,119,83,36,0.569ns,
aetherling_copies,big_conv2d,6220800,241,237,0,4,342,0,2,0,89,63,26,0.987ns,
aetherling_copies,big_real_16_conv2d_b2b,1036800,502,483,0,19,1113,3,0,30,305,153,152,0.763ns,
aetherling_copies,big_real_16_conv2d_b2b,129600,
aetherling_copies,big_real_16_conv2d_b2b,2073600,413,402,0,11,729,3,0,15,233,131,102,-0.147ns,
aetherling_copies,big_real_16_conv2d_b2b,259200,1679,1606,0,73,3842,6,0,120,1100,575,525,0.407ns,
aetherling_copies,big_real_16_conv2d_b2b,518400,894,857,0,37,2019,3,0,60,569,296,273,0.224ns,
aetherling_copies,big_real_16_conv2d_b2b,6220800,579,570,0,9,950,3,0,7,299,179,120,0.147ns,
aetherling_copies,big_real_16_conv2d,1036800,350,333,0,17,739,2,0,20,207,107,100,0.719ns,
aetherling_copies,big_real_16_conv2d,129600,2303,2174,0,129,4865,8,0,160,1339,665,674,0.345ns,
aetherling_copies,big_real_16_conv2d,2073600,261,251,0,10,480,2,0,10,149,75,74,0.250ns,
aetherling_copies,big_real_16_conv2d,259200,1180,1115,0,65,2506,4,0,80,725,420,305,0.312ns,
aetherling_copies,big_real_16_conv2d,518400,626,593,0,33,1325,2,0,40,378,189,189,0.629ns,
aetherling_copies,big_real_16_conv2d,6220800,342,333,0,9,614,2,0,4,161,102,59,0.246ns,
aetherling_copies,big_real_16_sharpen,1036800,548,499,48,1,853,2,0,22,262,132,130,-0.717ns,
aetherling_copies,big_real_16_sharpen,129600,3813,3428,384,1,5688,8,0,176,1926,995,931,-1.190ns,
aetherling_copies,big_real_16_sharpen,2073600,366,341,24,1,545,2,0,11,171,91,80,-0.703ns,
aetherling_copies,big_real_16_sharpen,259200,1941,1748,192,1,2926,4,0,88,1065,562,503,-1.216ns,
aetherling_copies,big_real_16_sharpen,518400,1013,916,96,1,1541,2,0,44,498,262,236,-1.187ns,
aetherling_copies,big_real_16_sharpen,6220800,442,418,24,0,677,2,0,5,199,119,80,-0.840ns,
aetherling_copies,big_real_32_conv2d_b2b,1036800,1132,834,0,298,3082,6,0,94,881,548,333,0.276ns,
aetherling_copies,big_real_32_conv2d_b2b,129600,
aetherling_copies,big_real_32_conv2d_b2b,2073600,711,561,0,150,1842,6,0,47,490,317,173,0.143ns,
aetherling_copies,big_real_32_conv2d_b2b,259200,
aetherling_copies,big_real_32_conv2d_b2b,518400,2158,1563,0,595,5835,6,0,188,1587,891,696,0.219ns,
aetherling_copies,big_real_32_conv2d_b2b,6220800,922,845,0,77,1965,6,0,23,532,307,225,-0.051ns,
aetherling_copies,big_real_32_conv2d,1036800,799,589,0,210,2060,4,0,62,585,333,252,0.238ns,
aetherling_copies,big_real_32_conv2d,129600,
aetherling_copies,big_real_32_conv2d,2073600,490,385,0,105,1221,4,0,31,367,210,157,0.095ns,
aetherling_copies,big_real_32_conv2d,259200,
aetherling_copies,big_real_32_conv2d,518400,1526,1108,0,418,3877,4,0,124,1106,677,429,0.249ns,
aetherling_copies,big_real_32_conv2d,6220800,568,517,0,51,1256,4,0,13,364,220,144,0.075ns,
aetherling_copies,big_real_32_sharpen,1036800,1160,921,48,191,2308,4,2,70,678,381,297,-3.156ns,
aetherling_copies,big_real_32_sharpen,129600,
