System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,big_real_32_conv2d_b2b,1036800,1131,834,0,297,3082,6,0,94,843,471,372,0.839ns,
aetherling_copies,big_real_32_conv2d_b2b,129600,
aetherling_copies,big_real_32_conv2d_b2b,2073600,694,544,0,150,1842,6,0,47,485,268,217,1.510ns,
aetherling_copies,big_real_32_conv2d_b2b,259200,4208,3016,0,1192,11340,12,0,376,2906,1477,1429,0.834ns,
aetherling_copies,big_real_32_conv2d_b2b,518400,2155,1560,0,595,5830,6,0,188,1440,758,682,0.974ns,
aetherling_copies,big_real_32_conv2d_b2b,6220800,907,830,0,77,1964,6,0,23,533,282,251,1.795ns,
aetherling_copies,big_real_32_conv2d,1036800,798,588,0,210,2060,4,0,62,550,284,266,1.576ns,
aetherling_copies,big_real_32_conv2d,129600,5894,4223,0,1671,14773,14,2,496,3903,1954,1949,0.673ns,
aetherling_copies,big_real_32_conv2d,2073600,481,376,0,105,1221,4,0,31,295,147,148,1.481ns,
aetherling_copies,big_real_32_conv2d,259200,2974,2139,0,835,7508,8,0,248,1928,954,974,0.330ns,
aetherling_copies,big_real_32_conv2d,518400,1523,1104,0,419,3872,4,0,124,1014,506,508,0.226ns,
aetherling_copies,big_real_32_conv2d,6220800,559,508,0,51,1256,4,0,13,354,215,139,1.495ns,
aetherling_copies,big_real_32_sharpen,1036800,1160,921,48,191,2308,4,2,70,664,363,301,0.426ns,
aetherling_copies,big_real_32_sharpen,129600,8649,6744,384,1521,16633,14,18,560,4989,2618,2371,0.089ns,
aetherling_copies,big_real_32_sharpen,2073600,674,554,24,96,1356,4,1,35,417,229,188,0.459ns,
aetherling_copies,big_real_32_sharpen,259200,4369,3416,192,761,8448,8,8,280,2491,1335,1156,0.161ns,
aetherling_copies,big_real_32_sharpen,518400,2231,1754,96,381,4348,4,4,140,1277,683,594,0.366ns,
aetherling_copies,big_real_32_sharpen,6220800,753,687,24,42,1391,4,1,17,418,255,163,0.479ns,
