System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,conv2d_b2b_3x3_repeat,144,451,421,26,4,484,0,0,0,202,126,76,-14.534ns,
aetherling_copies,conv2d_b2b_3x3_repeat,16,225,224,0,1,199,0,0,0,135,75,60,-16.530ns,
aetherling_copies,conv2d_b2b_3x3_repeat,1,2690,2689,0,1,307,0,0,0,1175,821,354,-10.192ns,
aetherling_copies,conv2d_b2b_3x3_repeat,2,1460,1458,0,2,545,0,0,0,637,442,195,-8.704ns,
aetherling_copies,conv2d_b2b_3x3_repeat,48,492,489,0,3,448,0,0,0,237,163,74,-12.629ns,
aetherling_copies,conv2d_b2b_3x3_repeat,4,764,762,0,2,331,0,0,0,336,219,117,-8.841ns,
aetherling_copies,conv2d_b2b_3x3_repeat,8,426,424,0,2,228,0,0,0,191,123,68,-15.809ns,
aetherling_copies,conv2d_b2b,144,411,386,21,4,411,0,0,0,184,131,53,-14.995ns,
aetherling_copies,conv2d_b2b,16,212,208,0,4,192,0,0,0,103,59,44,-19.421ns,
aetherling_copies,conv2d_b2b,1,2530,2481,0,49,467,0,0,0,1065,750,315,-14.357ns,
aetherling_copies,conv2d_b2b,2,1387,1362,0,25,670,0,0,0,591,395,196,-13.539ns,
aetherling_copies,conv2d_b2b,48,458,454,0,4,375,0,0,0,194,130,64,-13.249ns,
aetherling_copies,conv2d_b2b,4,753,739,0,14,422,0,0,0,316,203,113,-13.139ns,
aetherling_copies,conv2d_b2b,8,391,382,0,9,190,0,0,0,159,96,63,-23.481ns,
aetherling_copies,conv2d,144,232,214,16,2,286,0,0,0,113,67,46,-9.135ns,
aetherling_copies,conv2d,16,136,135,0,1,139,0,0,0,75,44,31,-7.956ns,
aetherling_copies,conv2d,1,1666,1665,0,1,1011,0,0,0,682,482,200,-4.290ns,
aetherling_copies,conv2d,2,907,906,0,1,661,0,0,0,366,253,113,-3.790ns,
aetherling_copies,conv2d,48,255,253,0,2,268,0,0,0,107,63,44,-9.852ns,
aetherling_copies,conv2d,4,431,430,0,1,350,0,0,0,185,130,55,-4.455ns,
aetherling_copies,conv2d,8,254,253,0,1,172,0,0,0,108,69,39,-7.593ns,
aetherling_copies,map,100,11,11,0,0,79,0,0,0,21,15,6,-0.916ns,
aetherling_copies,map,10,101,101,0,0,745,0,0,0,155,118,37,-1.004ns,
aetherling_copies,map,1,997,997,0,0,7605,0,0,0,1423,996,427,-1.242ns,
aetherling_copies,map,200,6,6,0,0,42,0,0,0,13,11,2,-1.009ns,
aetherling_copies,map,20,49,49,0,0,375,0,0,0,73,45,28,-1.121ns,
aetherling_copies,map,25,40,40,0,0,301,0,0,0,58,34,24,-1.036ns,
aetherling_copies,map,40,24,24,0,0,190,0,0,0,38,23,15,-1.007ns,
aetherling_copies,map,50,21,21,0,0,153,0,0,0,57,35,22,-0.981ns,
aetherling_copies,map,5,201,201,0,0,1525,0,0,0,336,242,94,-1.093ns,
aetherling_copies,pyramid,16,494,489,0,5,393,0,0,0,231,141,90,-11.492ns,
aetherling_copies,pyramid,192,959,953,0,6,898,0,0,0,392,284,108,-10.160ns,
aetherling_copies,pyramid,1,1898,1897,0,1,203,0,0,0,763,553,210,-9.801ns,
aetherling_copies,pyramid,2,981,980,0,1,510,0,0,0,422,294,128,-7.801ns,
aetherling_copies,pyramid,32,470,449,16,5,460,0,0,0,232,149,83,-7.551ns,
aetherling_copies,pyramid,4,630,625,0,5,248,0,0,0,275,178,97,-9.702ns,
aetherling_copies,pyramid,576,940,908,26,6,981,0,0,0,435,307,128,-9.672ns,
aetherling_copies,pyramid,64,540,535,0,5,560,0,0,0,262,155,107,-8.423ns,
aetherling_copies,pyramid,8,604,587,8,9,450,0,0,0,276,183,93,-8.342ns,
aetherling_copies,single_map_200,100,9,9,0,0,83,0,0,0,24,16,8,-0.882ns,
aetherling_copies,single_map_200,10,101,101,0,0,745,0,0,0,155,118,37,-1.004ns,
aetherling_copies,single_map_200,1,997,997,0,0,7605,0,0,0,1423,996,427,-1.242ns,
aetherling_copies,single_map_200,20,49,49,0,0,375,0,0,0,73,45,28,-1.121ns,
aetherling_copies,single_map_200,25,19,19,0,0,318,0,0,0,70,51,19,-1.026ns,
aetherling_copies,single_map_200,40,14,14,0,0,200,0,0,0,43,27,16,-1.142ns,
aetherling_copies,single_map_200,50,13,13,0,0,161,0,0,0,43,33,10,-1.047ns,
aetherling_copies,single_map_200,5,201,201,0,0,1525,0,0,0,336,242,94,-1.093ns,
halide_to_hardware,map,25,40,40,0,0,301,0,0,0,58,34,24,-1.036ns,
halide_to_hardware,map,50,21,21,0,0,153,0,0,0,57,35,22,-0.981ns,
spatial,down_up,10,
spatial,down_up,200,
spatial,down_up,20,
spatial,down_up,40,
spatial,down_up,8,
spatial,map,100,11,11,0,0,79,0,0,0,21,15,6,-0.916ns,
spatial,map,200,6,6,0,0,42,0,0,0,13,11,2,-1.009ns,
spatial,map,25,40,40,0,0,301,0,0,0,58,34,24,-1.036ns,
spatial,map,50,21,21,0,0,153,0,0,0,57,35,22,-0.981ns,
