System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,BRAMTiles,Slices,SLICEL,SLICEM,Slack(VIOLATED),
spatial,big_real_32_conv2d_b2b,1036800,4286,3973,0,313,3294,0,32,94,16,1526,1035,491,2.153ns,
spatial,big_real_32_conv2d_b2b,2073600,8630,8347,0,283,6763,24,0,47,24,2746,1702,1044,1.695ns,
spatial,big_real_32_conv2d_b2b,259200,50496,49336,0,1160,31406,0,80,226,40,14313,9195,5118,0.838ns,
spatial,big_real_32_conv2d_b2b,518400,24345,23653,0,692,18859,0,48,138,24,7557,4866,2691,1.350ns,
spatial,big_real_32_conv2d,1036800,2775,2581,0,194,2342,0,16,62,8,972,539,433,2.130ns,
spatial,big_real_32_conv2d,2073600,7156,6975,0,181,5751,12,0,31,12,2327,1518,809,2.206ns,
spatial,big_real_32_conv2d,259200,43805,42730,0,1075,29397,0,40,194,20,12748,8077,4671,0.742ns,
spatial,big_real_32_conv2d,518400,20703,20175,0,528,16582,0,24,106,12,6290,4257,2033,1.040ns,
spatial,big_real_32_sharpen,1036800,3296,2970,0,326,3001,0,16,70,8,1176,692,484,2.054ns,
spatial,big_real_32_sharpen,2073600,
spatial,big_real_32_sharpen,259200,
spatial,big_real_32_sharpen,518400,21749,20925,0,824,18101,0,24,122,12,6805,4434,2371,1.312ns,
spatial,conv2d_b2b,16,1428,1409,0,19,1142,0,0,0,0,544,295,249,3.199ns,
spatial,conv2d_b2b,2,1996,1852,0,144,1515,0,0,0,0,673,370,303,3.591ns,
spatial,conv2d_b2b,4,1156,1062,0,94,1078,0,0,0,0,411,231,180,3.771ns,
spatial,conv2d_b2b,8,1214,1152,0,62,1111,0,0,0,0,455,285,170,3.521ns,
spatial,conv2d,16,1046,1038,0,8,831,0,0,0,0,380,224,156,4.048ns,
spatial,conv2d,2,1573,1457,0,116,1196,0,0,0,0,555,311,244,3.771ns,
spatial,conv2d,4,939,862,0,77,850,0,0,0,0,341,234,107,4.108ns,
spatial,conv2d,8,777,764,0,13,751,0,0,0,0,298,191,107,3.787ns,
spatial,down_up,10,0,0,0,0,33,0,0,0,0,8,6,2,,
spatial,down_up,200,274,262,0,12,87,0,0,0,0,98,51,47,1.596ns,
spatial,down_up,20,0,0,0,0,17,0,0,0,0,6,2,4,,
spatial,down_up,40,0,0,0,0,9,0,0,0,0,3,1,2,,
spatial,down_up,8,0,0,0,0,41,0,0,0,0,12,9,3,,
spatial,map,100,21,12,0,9,34,0,0,0,0,8,4,4,6.270ns,
spatial,map,200,11,6,0,5,18,0,0,0,0,6,3,3,6.291ns,
spatial,map,25,81,48,0,33,130,0,0,0,0,27,13,14,6.274ns,
spatial,map,50,41,24,0,17,66,0,0,0,0,15,6,9,6.481ns,
spatial,sharpen,16,1089,1066,0,23,863,0,0,0,0,390,215,175,3.923ns,
spatial,sharpen,2,1919,1682,0,237,1641,0,0,0,0,649,366,283,3.825ns,
spatial,sharpen,4,1122,985,0,137,1070,0,0,0,0,406,225,181,4.198ns,
spatial,sharpen,8,1169,1093,0,76,955,0,0,0,0,415,229,186,3.433ns,
