System,Application,Parallelism,TotalLUTs,LogicLUTs,LUTRAMs,SRLs,FFs,RAMB36,RAMB18,DSP48Blocks,BRAMTiles,Slices,SLICEL,SLICEM,Slack(VIOLATED),
aetherling_copies,demosaic,1036800,1299,859,344,96,900,4,0,0,4,366,193,173,1.398ns,
aetherling_copies,demosaic,129600,9800,6280,2752,768,5510,14,2,0,15,2683,1693,990,0.735ns,
aetherling_copies,demosaic,2073600,740,520,172,48,574,4,0,0,4,241,147,94,1.129ns,
aetherling_copies,demosaic,259200,4935,3175,1376,384,2894,8,0,0,8,1400,815,585,0.643ns,
aetherling_copies,demosaic,518400,2506,1626,688,192,1579,4,0,0,4,724,427,297,0.892ns,
aetherling_copies,demosaic,8294400,1009,715,246,48,1472,4,0,0,4,573,324,249,1.421ns,
aetherling_copies,map,100,21,13,0,8,37,0,0,0,0,8,5,3,4.093ns,
aetherling_copies,map,10,201,121,0,80,325,0,0,0,0,77,40,37,3.937ns,
aetherling_copies,map,1,2001,1201,0,800,3205,0,0,0,0,693,377,316,3.589ns,
aetherling_copies,map,200,11,7,0,4,21,0,0,0,0,6,4,2,4.289ns,
aetherling_copies,map,20,101,61,0,40,165,0,0,0,0,35,14,21,4.065ns,
aetherling_copies,map,25,81,49,0,32,133,0,0,0,0,32,15,17,4.157ns,
aetherling_copies,map,40,51,31,0,20,85,0,0,0,0,19,8,11,4.282ns,
aetherling_copies,map,50,41,25,0,16,69,0,0,0,0,15,8,7,4.064ns,
aetherling_copies,map,5,401,241,0,160,645,0,0,0,0,143,68,75,3.953ns,
halide_to_hardware,map,100,91,91,0,0,92,0,0,0,0,31,15,16,3.389ns,
halide_to_hardware,map,200,77,77,0,0,70,0,0,0,0,25,11,14,3.337ns,
halide_to_hardware,map,25,169,169,0,0,232,0,0,0,0,73,36,37,3.529ns,
halide_to_hardware,map,50,125,125,0,0,138,0,0,0,0,49,21,28,3.798ns,
spatial,map,100,21,12,0,9,34,0,0,0,0,8,4,4,6.270ns,
spatial,map,200,11,6,0,5,18,0,0,0,0,6,3,3,6.291ns,
spatial,map,25,81,48,0,33,130,0,0,0,0,27,13,14,6.274ns,
spatial,map,50,41,24,0,17,66,0,0,0,0,15,6,9,6.481ns,
aetherling_copies,big_32_conv2d_b2b,1036800,837,803,0,34,1388,6,0,0,6,320,182,138,2.049ns,
aetherling_copies,big_32_conv2d_b2b,129600,5945,5687,0,258,8901,21,3,0,22.5,2058,1437,621,1.570ns,
aetherling_copies,big_32_conv2d_b2b,2073600,545,527,0,18,917,6,0,0,6,260,168,92,1.770ns,
aetherling_copies,big_32_conv2d_b2b,259200,3037,2907,0,130,4606,12,0,0,12,1087,734,353,1.574ns,
aetherling_copies,big_32_conv2d_b2b,518400,1553,1487,0,66,2456,6,0,0,6,522,330,192,1.898ns,
aetherling_copies,big_32_conv2d_b2b,6220800,980,964,0,16,1713,6,0,0,6,406,241,165,1.509ns,
aetherling_copies,big_32_conv2d,1036800,610,578,0,32,927,4,0,0,4,218,122,96,2.145ns,
aetherling_copies,big_32_conv2d,129600,4378,4122,0,256,5744,14,2,0,15,1306,926,380,1.485ns,
aetherling_copies,big_32_conv2d,2073600,385,369,0,16,589,4,0,0,4,148,114,34,1.592ns,
aetherling_copies,big_32_conv2d,259200,2239,2111,0,128,2991,8,0,0,8,683,410,273,1.910ns,
aetherling_copies,big_32_conv2d,518400,1141,1077,0,64,1611,4,0,0,4,370,202,168,2.326ns,
